psraid,internetUse,emailUse,internetYest,facebookUse,myspaceUse,linkedinUse,profileUse,twitterUse,payMusic,payVideo,payPhoto,payNews,payEbook,payGame,payRingtone,paySoftware,payApp,payAmount,payAmountMonth,household,emp,parent,sex,age,educ,race,inc,iphoneUse,twitterCheckFreq
101042,2,2,,,,,,,,,,,,,,,,,,1,2,2,2,56,5,2,2,2,
101050,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,2,3,2,2,65,5,5,5,2,
101053,2,2,,,,,,,,,,,,,,,,,,3,3,2,2,64,4,1,2,2,
101055,1,1,1,1,2,2,2,2,1,2,2,8,2,1,2,1,2,9998,0,2,1,2,2,60,7,1,9,2,
101056,2,2,,,,,,,,,,,,,,,,,,1,3,2,2,88,3,1,1,1,
101059,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,,,2,1,2,2,65,5,1,7,2,
101062,2,2,,,,,,,,,,,,,,,,,,4,1,2,1,54,3,1,6,1,
101070,2,2,,,,,,,,,,,,,,,,,,1,3,2,1,70,3,1,3,1,
101077,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,2,2,2,1,18,2,5,1,1,
101079,2,2,,,,,,,,,,,,,,,,,,1,5,2,1,56,3,1,1,1,
101082,1,1,1,1,2,1,1,2,1,2,2,2,2,2,2,2,2,,0,2,1,1,2,36,6,1,7,2,
101083,2,2,,,,,,,,,,,,,,,,,,1,3,2,2,89,3,1,4,2,
101085,2,2,,,,,,,,,,,,,,,,,,1,3,2,2,77,7,1,4,1,
101090,1,1,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,,,2,3,2,1,62,3,1,5,2,
101096,1,1,1,2,2,2,2,2,2,1,2,2,2,2,2,1,1,,0,1,3,2,2,87,5,9,5,1,
101097,2,2,,,,,,,,,,,,,,,,,,2,4,2,2,63,3,1,99,2,
101109,2,2,,,,,,,,,,,,,,,,,,2,3,2,1,63,3,1,5,1,
101113,2,2,,,,,,,,,,,,,,,,,,2,3,2,1,60,3,1,2,1,
101125,1,1,1,1,2,2,2,2,1,2,2,2,1,1,2,1,2,20,2,2,4,1,2,41,5,1,7,2,
101128,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,,2,2,2,2,56,3,1,3,2,
101139,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,1,3,2,2,70,6,1,99,2,
101150,1,1,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,,24,2,1,1,2,52,7,5,7,2,7
101151,2,2,,,,,,,,,,,,,,,,,,2,3,2,1,67,3,1,7,2,
101152,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,1,4,1,2,36,5,1,1,1,
101155,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,1,3,2,2,75,6,1,99,2,
101158,1,1,1,1,1,2,2,2,1,1,2,2,2,2,2,1,1,100,10,2,1,1,1,44,7,1,8,2,
101169,1,1,1,1,2,1,2,2,1,2,2,2,2,2,2,2,2,,10,2,1,2,2,28,7,1,6,2,
101172,1,1,1,2,2,2,2,2,1,2,2,2,2,1,2,2,2,,0,3,1,2,2,48,4,1,6,2,
101180,1,2,1,1,2,2,2,2,2,2,1,2,2,1,2,2,2,,0,2,2,1,2,28,5,6,6,2,7
101187,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,,0,1,3,2,2,71,5,1,7,2,
101188,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,3,4,1,2,50,6,9,99,2,
101193,2,2,,,,,,,,,,,,,,,,,,2,1,2,2,61,4,1,99,2,
200002,1,1,1,2,2,2,8,2,1,2,2,2,2,2,1,2,1,,9998,9,1,2,1,39,3,3,4,3,7
200003,1,1,1,2,2,2,2,2,2,1,2,1,2,2,2,2,2,9998,9998,3,4,2,2,53,5,1,9,2,
200005,2,2,,,,,,,,,,,,,,,,,,2,2,2,2,63,3,2,4,2,
200018,2,2,,,,,,,,,,,,,,,,,,1,3,2,1,75,3,9,2,3,
200029,2,2,,,,,,,,,,,,,,,,,,2,3,2,1,84,2,1,2,3,
200031,1,1,1,2,2,2,1,2,1,1,2,1,1,1,2,1,1,800,5,2,4,1,2,37,5,1,7,3,
200035,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,1,3,2,1,58,6,2,2,3,
200040,1,1,1,1,2,2,1,2,1,2,2,1,1,1,2,1,2,60,10,2,6,2,1,25,5,1,3,3,
200043,1,1,1,1,2,1,2,1,1,1,2,2,2,1,2,1,1,120,20,2,1,1,1,37,6,1,8,2,1
200052,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,2,3,2,2,58,3,1,2,2,
200055,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,150,50,2,1,1,2,57,7,1,7,2,
200060,1,1,1,2,2,2,1,2,2,2,2,1,2,2,2,2,2,,9998,2,4,2,2,56,5,1,5,2,7
200061,1,1,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,,0,2,1,2,2,25,6,2,4,3,7
200068,1,1,1,1,2,2,1,2,2,2,2,2,2,2,2,1,2,,0,2,1,2,2,54,3,1,5,2,
200079,1,1,1,1,2,2,1,2,1,2,2,1,2,2,2,2,2,,30,2,1,2,2,25,6,6,5,3,7
200086,1,1,1,1,2,2,1,2,1,2,2,2,2,2,2,1,2,,12,1,1,2,2,26,6,2,5,2,
200088,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,2,1,2,2,57,6,1,4,3,
200091,1,1,1,1,2,2,2,2,2,2,2,1,2,2,2,2,1,,0,2,1,2,2,29,7,5,2,3,
200096,2,2,,,,,,,,,,,,,,,,,,1,5,1,1,48,2,1,1,3,
200097,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,,,2,1,1,2,45,7,2,3,2,
200099,2,2,,,,,,,,,,,,,,,,,,1,2,2,1,42,2,2,2,3,
200101,2,2,,,,,,,,,,,,,,,,,,3,2,1,1,39,3,2,1,2,
200106,1,1,1,1,1,2,1,1,1,2,1,1,2,2,1,1,1,,20,2,1,2,1,40,5,2,7,3,2
200111,1,1,1,1,2,2,2,2,1,2,2,2,2,2,1,2,2,,20,4,1,2,1,19,3,1,99,2,
200113,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,2,2,,30,3,1,2,2,35,6,2,7,3,
200121,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,,3,4,1,2,45,6,1,3,2,
200132,2,2,,,,,,,,,,,,,,,,,,1,3,2,1,46,2,1,2,3,
200133,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,1,3,2,2,72,6,1,99,3,
200134,1,1,2,2,2,2,2,2,1,2,2,2,2,2,8,2,2,,0,2,1,1,1,56,6,1,5,2,
200138,2,2,,,,,,,,,,,,,,,,,,4,3,2,2,67,2,1,4,2,
200144,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,,,2,1,2,2,52,5,1,5,3,
200155,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,2,1,2,2,55,3,1,7,3,
200164,2,2,,,,,,,,,,,,,,,,,,2,1,2,1,21,5,1,99,2,
200173,1,1,1,1,2,2,1,2,2,2,2,2,2,2,1,2,2,,2,2,1,2,2,22,2,1,3,3,
200187,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,,3,2,1,2,50,6,1,99,2,7
200198,1,1,1,1,2,2,2,2,1,2,2,2,2,2,2,1,2,150,0,2,1,1,1,40,6,1,8,2,
200200,1,1,2,1,2,2,2,2,2,2,1,2,2,2,2,1,2,,0,2,1,1,2,37,3,1,3,3,
200207,1,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,,,2,1,1,1,47,7,1,8,2,
200211,1,1,1,1,2,2,1,2,1,2,2,2,2,1,2,1,2,,20,2,1,2,2,51,5,2,7,3,
200213,1,1,1,1,2,2,2,2,1,1,2,1,2,2,2,2,2,100,5,2,4,2,2,20,5,1,8,3,
200219,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,,,2,3,2,1,78,3,1,4,2,
200229,1,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,,,2,4,2,2,21,5,1,99,3,
200237,1,1,1,1,2,2,2,2,1,2,2,2,2,1,2,1,2,,5,2,2,1,2,40,6,1,7,2,
200241,2,2,,,,,,,,,,,,,,,,,,1,3,2,1,63,2,2,1,3,
200250,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,2,3,2,2,63,6,1,99,2,
200252,1,1,2,2,2,2,1,2,2,1,2,1,2,2,2,2,2,,0,4,1,1,2,46,5,1,6,2,
200254,2,2,,,,,,,,,,,,,,,,,,1,3,2,2,46,3,1,1,3,
200261,1,1,2,8,8,2,1,2,1,1,2,2,2,1,1,2,1,,9998,1,1,2,2,65,6,1,6,3,
200264,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,,,2,3,2,1,75,6,1,99,2,
200265,2,2,,,,,,,,,,,,,,,,,,3,1,2,2,53,3,2,1,2,
200267,1,1,1,1,2,2,1,2,1,2,2,2,2,2,2,1,2,,4,2,1,2,2,22,6,1,6,3,
200269,1,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,,0,2,4,9,2,48,7,1,99,2,
200279,1,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,,1,2,2,1,2,26,6,1,5,3,
200285,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,1,1,300,30,2,1,1,1,50,6,5,9,2,
200290,2,2,,,,,,,,,,,,,,,,,,2,3,2,1,67,5,2,7,2,
200296,2,2,,,,,,,,,,,,,,,,,,2,1,1,1,31,2,1,99,3,
200300,1,1,1,1,2,2,2,2,2,1,2,1,1,1,2,1,1,400,0,2,1,1,2,39,6,1,9,2,
200302,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,0,2,1,2,2,44,5,2,8,3,
200306,2,2,,,,,,,,,,,,,,,,,,4,3,1,2,69,3,1,99,3,
200307,1,1,1,2,2,2,2,2,2,1,1,1,1,2,2,1,1,12,1,1,1,1,1,31,7,2,5,3,
200309,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,,,1,5,1,2,42,2,1,99,3,
200319,1,1,1,2,1,2,2,1,2,1,2,2,2,1,1,1,1,,20,3,1,2,1,58,3,1,9,2,4
200324,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,1,5,2,1,50,3,1,1,3,
200338,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,8,2,,0,4,1,1,1,61,3,1,4,3,
200341,1,1,1,2,2,2,1,1,1,2,2,2,2,1,1,2,1,,0,1,1,2,1,26,5,2,5,3,7
200343,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,9,9,9,1,99,9,1,99,2,7
200346,1,1,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,,0,3,1,2,1,40,3,1,5,2,
200353,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,2,3,2,1,83,5,1,99,2,
200357,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,,30,2,1,2,1,63,6,1,99,2,
200361,1,1,2,1,2,2,2,2,1,1,2,2,8,1,2,2,1,,30,2,1,1,1,40,3,2,4,2,
200370,1,1,1,1,2,2,1,2,2,2,1,2,2,2,2,2,2,40,0,2,1,1,1,47,5,2,5,3,
200371,1,1,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,,0,2,3,2,1,73,7,1,8,2,
200376,1,1,1,1,2,2,1,2,2,2,2,2,2,2,2,1,2,,19,2,1,2,1,37,6,1,8,2,7
200377,1,1,1,1,2,2,1,2,2,2,1,2,2,1,2,1,1,,42,3,1,1,1,47,3,1,9,3,
200378,1,1,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,,,3,2,2,1,20,5,1,6,3,
200384,1,1,1,1,2,8,2,2,1,2,2,2,1,2,2,2,2,,0,2,1,2,1,62,6,1,7,2,
200387,2,2,,,,,,,,,,,,,,,,,,2,5,2,2,47,3,1,2,3,
200388,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,2,3,2,1,72,5,1,3,3,
200390,1,1,1,1,2,2,1,2,2,2,2,1,2,2,2,2,2,40,40,3,2,2,2,21,5,1,99,2,7
200398,1,1,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,,60,2,1,2,2,50,7,4,9,2,
200399,1,1,1,2,2,2,2,2,1,2,2,2,2,2,1,1,2,,0,2,1,2,1,33,7,1,6,3,
200411,1,1,1,1,2,2,2,1,1,2,2,2,1,1,2,1,1,,10,2,2,1,2,37,6,3,8,2,5
200414,2,2,,,,,,,,,,,,,,,,,,1,4,2,2,62,3,2,1,3,
200420,2,2,,,,,,,,,,,,,,,,,,2,3,2,2,77,2,1,2,3,
200421,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,,3,1,1,1,41,2,1,4,3,6
200424,1,1,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,10,10,1,1,2,2,43,3,2,5,2,
200430,1,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,,,3,4,1,1,41,3,1,4,3,
200431,1,1,1,2,2,2,2,2,1,2,2,1,2,1,1,1,2,,0,1,1,1,2,34,6,3,3,2,
200432,1,1,1,1,2,2,1,2,2,1,1,1,1,2,2,2,1,100,20,2,1,1,2,40,7,1,9,2,
200437,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,5,1,2,1,60,3,2,99,2,
200438,2,2,,,,,,,,,,,,,,,,,,2,1,2,2,55,4,1,2,3,
200444,1,1,1,1,1,2,2,2,1,2,1,2,2,1,2,1,2,,1,3,2,2,2,59,3,1,6,2,
200445,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,2,1,2,1,64,5,1,6,2,
200447,1,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,,0,4,1,2,2,49,7,1,9,3,
200450,1,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,,15,2,1,2,1,52,2,1,6,2,
200452,1,9,1,2,2,1,2,2,1,2,2,2,1,2,1,1,1,,5,2,7,2,1,65,7,1,7,2,
200453,2,2,,,,,,,,,,,,,,,,,,1,1,2,1,21,3,1,3,3,
200455,1,1,1,1,2,2,1,2,1,2,2,2,2,1,2,2,1,,0,3,1,2,2,59,3,1,8,2,
200456,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,0,2,1,1,1,40,3,1,4,2,
200461,2,2,,,,,,,,,,,,,,,,,,2,1,2,2,57,5,1,4,2,
200463,1,1,1,1,1,1,1,1,1,2,2,2,2,1,2,2,1,,9998,3,4,1,2,22,3,2,99,2,1
200472,1,1,1,1,2,2,2,2,1,1,2,1,1,2,2,2,1,,50,1,1,1,1,35,5,1,6,3,
200473,1,1,1,2,2,2,1,2,1,2,1,2,2,2,1,1,2,,1,1,3,2,1,72,6,1,4,2,
200475,2,2,,,,,,,,,,,,,,,,,,1,3,2,2,77,5,1,2,3,
200477,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,,,3,4,2,1,21,5,2,2,2,
200478,1,1,1,1,1,1,2,1,1,1,2,2,2,2,1,1,1,10,8,4,1,2,2,26,6,1,6,2,3
200479,1,1,2,1,2,2,1,2,1,2,1,2,2,1,2,1,1,200,0,2,1,2,1,35,5,1,6,2,
200483,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,,,1,1,2,1,48,3,1,99,3,
200485,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,,1,2,2,2,45,3,2,1,3,
200486,1,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,,,2,1,2,1,32,7,3,3,3,
200492,1,1,1,1,2,2,2,2,1,2,1,2,2,1,2,2,2,,0,2,1,1,1,54,5,1,8,2,
200493,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,,1,1,1,2,34,6,2,4,2,7
200496,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,,4,1,1,2,33,5,1,5,3,7
200501,1,2,1,1,2,2,1,2,2,2,2,2,1,2,2,2,2,,0,2,2,1,2,28,5,1,3,3,
200503,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,2,1,1,1,51,6,1,6,2,
200506,1,1,1,1,2,2,1,2,1,2,2,1,2,2,2,2,2,,4,4,4,1,2,24,3,1,2,2,
200508,1,2,2,1,2,2,1,2,2,2,2,2,8,2,2,2,2,,,2,3,2,2,54,3,1,4,2,
200527,1,1,1,2,2,2,2,2,1,1,2,1,2,2,2,2,1,,10,2,1,1,1,36,6,1,8,2,
200529,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,1,1,2,1,53,6,1,3,3,
200532,2,2,,,,,,,,,,,,,,,,,,2,1,2,1,45,3,2,99,2,
200533,1,1,1,1,2,2,1,2,1,1,2,2,2,1,2,2,2,12,12,2,1,2,1,31,6,1,3,3,
200540,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,,,2,1,2,2,21,5,1,1,2,
200542,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,,,3,2,2,2,18,3,1,9,2,7
200544,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,0,1,1,1,2,21,3,1,2,3,7
200549,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,,2,4,2,1,24,3,1,4,3,
200551,2,2,,,,,,,,,,,,,,,,,,2,2,2,1,55,2,1,4,2,
200556,1,2,1,1,2,2,1,1,2,2,2,2,2,2,1,2,2,,0,5,4,1,1,18,5,2,1,3,4
200557,1,1,1,2,2,2,1,2,1,2,2,2,2,2,1,1,1,,5,1,1,2,2,49,6,1,7,3,
200563,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,3,1,1,1,45,5,1,6,2,
200571,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,,,2,3,2,2,69,5,2,7,2,
200575,1,1,1,1,2,8,2,2,2,1,2,2,2,1,1,1,2,50,25,5,1,2,1,22,5,1,4,3,
200579,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,0,2,1,2,2,43,7,2,7,2,
200581,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,,4,1,2,2,23,3,1,99,3,
200582,1,1,1,2,2,2,1,2,1,2,1,2,2,2,2,1,2,,10,2,1,2,2,41,5,1,6,2,
200585,1,1,1,1,2,2,1,1,2,2,2,2,2,2,2,2,2,,,3,1,1,1,39,5,2,9,2,6
200587,2,2,,,,,,,,,,,,,,,,,,1,2,2,2,18,2,1,1,3,
200588,1,1,1,2,2,2,1,2,1,2,2,2,2,1,2,2,2,0,0,2,4,1,1,40,3,1,3,3,
200590,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,,2,4,1,1,24,3,1,2,3,
200591,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,2,3,2,1,66,2,1,8,2,
200600,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,1,2,,0,2,1,2,1,25,6,1,7,3,
200604,1,1,1,1,2,1,2,1,2,2,2,2,2,2,2,2,2,,,5,1,2,2,26,7,1,3,3,2
200610,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,,,3,1,2,1,45,4,1,5,3,
200613,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,2,1,2,2,51,5,2,8,2,
200614,2,2,,,,,,,,,,,,,,,,,,5,3,1,1,57,5,3,6,2,
200622,2,2,,,,,,,,,,,,,,,,,,3,4,2,1,22,9,1,99,2,
200634,1,1,1,1,2,2,2,1,1,2,1,1,1,2,2,1,2,,10,2,1,1,1,42,7,1,8,2,1
200636,1,1,1,1,2,2,1,2,2,1,2,2,2,1,1,2,1,,0,2,1,1,2,28,3,1,4,3,
200639,2,2,,,,,,,,,,,,,,,,,,2,3,2,1,77,2,2,99,2,
200646,1,1,1,2,2,2,2,2,2,1,1,1,2,2,2,2,2,,0,2,2,2,1,53,5,1,4,2,
200651,1,1,1,1,2,2,1,2,1,2,2,2,2,2,2,2,2,,0,2,2,2,2,18,3,4,99,2,
200653,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,2,1,2,2,59,4,1,7,2,
200668,2,2,,,,,,,,,,,,,,,,,,2,1,1,2,50,3,1,2,3,
200669,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,,0,2,3,2,2,56,3,1,4,3,
200670,1,1,1,1,1,2,1,1,1,2,2,2,2,2,1,1,1,,15,3,1,2,2,22,5,2,2,3,4
200673,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,1,2,1,2,27,3,6,3,2,
200681,1,1,1,1,2,2,1,1,1,1,2,2,2,1,1,1,1,30,10,2,2,1,2,22,4,2,1,3,1
200683,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,0,1,4,1,2,36,3,2,3,3,
200685,1,1,1,1,1,2,1,1,1,1,2,2,2,1,2,1,1,15,3,2,1,2,1,28,5,1,2,3,6
200690,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,4,1,2,1,58,6,1,7,2,
200693,1,1,1,1,1,2,1,2,1,2,2,2,2,2,1,1,1,,20,3,2,2,2,18,3,1,99,3,7
200695,1,1,1,2,2,2,1,2,2,2,2,1,2,2,2,2,2,,0,3,1,2,1,29,3,1,3,2,
200696,1,1,1,2,2,2,2,2,1,2,2,1,2,1,2,1,2,0,10,2,1,1,2,37,7,1,9,2,
200699,1,1,1,2,2,1,2,2,2,2,2,1,2,2,2,1,2,,0,2,3,2,2,68,7,1,6,2,
200702,2,2,,,,,,,,,,,,,,,,,,2,4,2,2,35,6,4,8,3,
200704,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,,9998,1,1,2,1,51,5,1,4,3,
200706,1,2,1,1,2,2,1,2,2,2,1,2,2,2,1,2,2,,0,2,1,1,1,28,3,2,6,3,7
200714,1,1,1,1,2,2,1,2,1,2,2,1,2,2,2,1,1,,2,1,1,2,1,25,6,2,6,3,
200715,2,2,,,,,,,,,,,,,,,,,,2,3,2,2,56,3,1,6,2,
